study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,observation,is_collected_for_histo,comment,necropsy_date
PC201708,PC201708-2103,2,2 mg/kg PCDRUG,F,2.0,Spleen,Small,True,,2016-05-02
PC201708,PC201708-2104,2,2 mg/kg PCDRUG,F,2.0,"Gland, Thyroid",Enlarged,False,,2016-05-02
PC201708,PC201708-2104,2,2 mg/kg PCDRUG,F,2.0,Hindlimb,Hemorrhage,False,,2016-05-02
PC201708,PC201708-2104,2,2 mg/kg PCDRUG,F,2.0,"Large Intestine, Cecum",Watery Contents,True,,2016-05-02
PC201708,PC201708-2104,2,2 mg/kg PCDRUG,F,2.0,"Lymph Node, Mesenteric",Small,True,,2016-05-02
PC201708,PC201708-2105,2,2 mg/kg PCDRUG,F,2.0,Lung,Discolored Area,True,,2016-05-02
PC201708,PC201708-2105,2,2 mg/kg PCDRUG,F,2.0,Skin,Hair Loss,True,,2016-05-02
PC201708,PC201708-2105,2,2 mg/kg PCDRUG,F,2.0,Stomach,Distended,True,,2016-05-02
PC201708,PC201708-2105,2,2 mg/kg PCDRUG,F,2.0,Thymus,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-2105,2,2 mg/kg PCDRUG,F,2.0,Uterus,Dilatation,True,Severity: MODERATE,2016-05-02
PC201708,PC201708-2106,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2107,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2108,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2109,2,2 mg/kg PCDRUG,F,2.0,"Gland, Adrenal",Discoloration,True,,2016-05-02
PC201708,PC201708-2110,2,2 mg/kg PCDRUG,F,2.0,Uterus,Mass,True,,2016-05-02
PC201708,PC201708-2111,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2112,2,2 mg/kg PCDRUG,F,2.0,Skin,Alopecia,True,,2016-05-16
PC201708,PC201708-2113,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2114,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2115,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3001,3,20 mg/kg PCDRUG,M,20.0,Spleen,Small,True,,2016-05-02
PC201708,PC201708-3002,3,20 mg/kg PCDRUG,M,20.0,"Gland, Adrenal",Discoloration,True,,2016-05-02
PC201708,PC201708-3002,3,20 mg/kg PCDRUG,M,20.0,Liver,Discoloration,True,,2016-05-02
PC201708,PC201708-3002,3,20 mg/kg PCDRUG,M,20.0,Skin,Alopecia,True,,2016-05-02
PC201708,PC201708-3002,3,20 mg/kg PCDRUG,M,20.0,Spleen,Small,True,,2016-05-02
PC201708,PC201708-3003,3,20 mg/kg PCDRUG,M,20.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-3004,3,20 mg/kg PCDRUG,M,20.0,Kidney,Discoloration,True,Severity: MILD,2016-05-02
PC201708,PC201708-3004,3,20 mg/kg PCDRUG,M,20.0,Liver,Discoloration,True,Severity: MILD,2016-05-02
PC201708,PC201708-3004,3,20 mg/kg PCDRUG,M,20.0,"Small Intestine, Ileum",Watery Contents,False,,2016-05-02
PC201708,PC201708-3005,3,20 mg/kg PCDRUG,M,20.0,Epididymis,Small,True,,2016-05-02
PC201708,PC201708-3005,3,20 mg/kg PCDRUG,M,20.0,"Gland, Coagulating",Small,False,,2016-05-02
PC201708,PC201708-3005,3,20 mg/kg PCDRUG,M,20.0,"Gland, Seminal Vesicle",Small,False,,2016-05-02
PC201708,PC201708-3005,3,20 mg/kg PCDRUG,M,20.0,Skin,Alopecia,True,,2016-05-02
PC201708,PC201708-3005,3,20 mg/kg PCDRUG,M,20.0,Testis,Soft,True,,2016-05-02
PC201708,PC201708-3006,3,20 mg/kg PCDRUG,M,20.0,Kidney,Cyst,True,,2016-05-02
PC201708,PC201708-3007,3,20 mg/kg PCDRUG,M,20.0,"Gland, Thyroid",Small,False,,2016-05-02
PC201708,PC201708-3007,3,20 mg/kg PCDRUG,M,20.0,Liver,Discoloration,True,Severity: MODERATE,2016-05-02
PC201708,PC201708-3007,3,20 mg/kg PCDRUG,M,20.0,Lung,Discoloration,True,,2016-05-02
PC201708,PC201708-3008,3,20 mg/kg PCDRUG,M,20.0,"Lymph Node, Mesenteric",Discoloration,True,,2016-05-02
PC201708,PC201708-3009,3,20 mg/kg PCDRUG,M,20.0,Spleen,Adhesion,True,,2016-05-02
PC201708,PC201708-3010,3,20 mg/kg PCDRUG,M,20.0,Liver,Discoloration,True,,2016-05-02
PC201708,PC201708-3011,3,20 mg/kg PCDRUG,M,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3012,3,20 mg/kg PCDRUG,M,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3013,3,20 mg/kg PCDRUG,M,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3014,3,20 mg/kg PCDRUG,M,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3015,3,20 mg/kg PCDRUG,M,20.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-3101,3,20 mg/kg PCDRUG,F,20.0,"Small Intestine, Jejunum",Diverticulum,False,,2016-05-02
PC201708,PC201708-3102,3,20 mg/kg PCDRUG,F,20.0,Liver,"Area(S), White",True,,2016-05-02
PC201708,PC201708-3102,3,20 mg/kg PCDRUG,F,20.0,Stomach,Distended,True,,2016-05-02
PC201708,PC201708-3103,3,20 mg/kg PCDRUG,F,20.0,Kidney,Cyst,True,,2016-05-02
PC201708,PC201708-3103,3,20 mg/kg PCDRUG,F,20.0,Stomach,Yellow Fluid,True,,2016-05-02
PC201708,PC201708-3103,3,20 mg/kg PCDRUG,F,20.0,Thymus,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-3104,3,20 mg/kg PCDRUG,F,20.0,"Lymph Node, Mesenteric",Discoloration,True,,2016-05-02
PC201708,PC201708-3104,3,20 mg/kg PCDRUG,F,20.0,Stomach,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-3104,3,20 mg/kg PCDRUG,F,20.0,Thymus,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-3105,3,20 mg/kg PCDRUG,F,20.0,Hindlimb,Hemorrhage,False,,2016-05-02
PC201708,PC201708-3105,3,20 mg/kg PCDRUG,F,20.0,Liver,Discoloration,True,,2016-05-02
PC201708,PC201708-3105,3,20 mg/kg PCDRUG,F,20.0,"Small Intestine, Duodenum",Distended,True,,2016-05-02
PC201708,PC201708-3105,3,20 mg/kg PCDRUG,F,20.0,Spleen,Small,True,,2016-05-02
PC201708,PC201708-3105,3,20 mg/kg PCDRUG,F,20.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-3106,3,20 mg/kg PCDRUG,F,20.0,"Large Intestine, Cecum",Distended,True,,2016-05-02
PC201708,PC201708-3106,3,20 mg/kg PCDRUG,F,20.0,Urinary Bladder,Distended,True,,2016-05-02
PC201708,PC201708-3106,3,20 mg/kg PCDRUG,F,20.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-3107,3,20 mg/kg PCDRUG,F,20.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-3108,3,20 mg/kg PCDRUG,F,20.0,Skin,Matting,True,,2016-05-02
PC201708,PC201708-3109,3,20 mg/kg PCDRUG,F,20.0,Kidney,Discoloration,True,,2016-05-02
PC201708,PC201708-3109,3,20 mg/kg PCDRUG,F,20.0,"Small Intestine, Ileum","Contents, Dark Red",False,,2016-05-02
PC201708,PC201708-3109,3,20 mg/kg PCDRUG,F,20.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-3109,3,20 mg/kg PCDRUG,F,20.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-3110,3,20 mg/kg PCDRUG,F,20.0,Liver,Misshapen,True,,2016-05-02
PC201708,PC201708-3111,3,20 mg/kg PCDRUG,F,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3112,3,20 mg/kg PCDRUG,F,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3113,3,20 mg/kg PCDRUG,F,20.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-3114,3,20 mg/kg PCDRUG,F,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-3115,3,20 mg/kg PCDRUG,F,20.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-4001,4,200 mg/kg PCDRUG,M,200.0,Skin,Matting,True,,2016-05-02
PC201708,PC201708-4001,4,200 mg/kg PCDRUG,M,200.0,"Small Intestine, Jejunum",Intussusception,False,,2016-05-02
PC201708,PC201708-4002,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4002,4,200 mg/kg PCDRUG,M,200.0,Skin,Rough Fur,True,,2016-05-02
PC201708,PC201708-4003,4,200 mg/kg PCDRUG,M,200.0,Liver,Mass,True,,2016-04-30
PC201708,PC201708-4004,4,200 mg/kg PCDRUG,M,200.0,"Large Intestine, Cecum","Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4004,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4005,4,200 mg/kg PCDRUG,M,200.0,Stomach,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-4005,4,200 mg/kg PCDRUG,M,200.0,Thymus,Small,True,,2016-05-02
PC201708,PC201708-4006,4,200 mg/kg PCDRUG,M,200.0,Skin,Matting,True,,2016-05-02
PC201708,PC201708-4007,4,200 mg/kg PCDRUG,M,200.0,Spleen,Small,True,Severity: MILD,2016-05-02
PC201708,PC201708-4008,4,200 mg/kg PCDRUG,M,200.0,"Small Intestine, Duodenum",Intussusception,True,,2016-05-02
PC201708,PC201708-4009,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4010,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4010,4,200 mg/kg PCDRUG,M,200.0,Skin,Matting,True,,2016-05-02
PC201708,PC201708-4011,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-4012,4,200 mg/kg PCDRUG,M,200.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-4013,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-4014,4,200 mg/kg PCDRUG,M,200.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-4015,4,200 mg/kg PCDRUG,M,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-4101,4,200 mg/kg PCDRUG,F,200.0,Skin,Alopecia,True,,2016-05-02
PC201708,PC201708-4101,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4101,4,200 mg/kg PCDRUG,F,200.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-4102,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4102,4,200 mg/kg PCDRUG,F,200.0,"Lymph Node, Mesenteric",Enlarged,True,,2016-05-02
PC201708,PC201708-4102,4,200 mg/kg PCDRUG,F,200.0,Spleen,Accessory,True,,2016-05-02
PC201708,PC201708-4102,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4102,4,200 mg/kg PCDRUG,F,200.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-4103,4,200 mg/kg PCDRUG,F,200.0,"Small Intestine, Jejunum",Diverticulum,False,,2016-05-02
PC201708,PC201708-4103,4,200 mg/kg PCDRUG,F,200.0,Spleen,Small,True,,2016-05-02
PC201708,PC201708-4103,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4104,4,200 mg/kg PCDRUG,F,200.0,"Small Intestine, Jejunum",Intussusception,False,,2016-05-02
PC201708,PC201708-4105,4,200 mg/kg PCDRUG,F,200.0,"Gland, Adrenal",Discoloration,True,,2016-05-02
PC201708,PC201708-4105,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MODERATE,2016-05-02
PC201708,PC201708-4105,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4106,4,200 mg/kg PCDRUG,F,200.0,"Lymph Node, Mesenteric",Enlarged,True,,2016-05-02
PC201708,PC201708-4107,4,200 mg/kg PCDRUG,F,200.0,"Large Intestine, Colon","Contents, Dark Red",False,,2016-05-02
PC201708,PC201708-4107,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4107,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4107,4,200 mg/kg PCDRUG,F,200.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-4108,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-02
PC201708,PC201708-4109,4,200 mg/kg PCDRUG,F,200.0,Urinary Bladder,"Contents, Dark Red",True,,2016-05-02
PC201708,PC201708-4109,4,200 mg/kg PCDRUG,F,200.0,Uterus,Clear Fluid,True,,2016-05-02
PC201708,PC201708-4110,4,200 mg/kg PCDRUG,F,200.0,"Body Cavity, Cranial","Contents, Dark Red",False,,2016-05-02
PC201708,PC201708-4110,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MODERATE,2016-05-02
PC201708,PC201708-4111,4,200 mg/kg PCDRUG,F,200.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-4112,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
PC201708,PC201708-4113,4,200 mg/kg PCDRUG,F,200.0,All Tissues,Mass,False,,2016-05-10
PC201708,PC201708-4114,4,200 mg/kg PCDRUG,F,200.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-4115,4,200 mg/kg PCDRUG,F,200.0,Liver,Enlarged,True,Severity: MILD,2016-05-16
