study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,finding,grade,grade_text,distribution,comment
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Spinal Cord, Cervical",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Spinal Cord, Lumbar",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Spinal Cord, Thoracic",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Spleen,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Stomach,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Testis,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Thymus,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Tongue,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Trachea,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Ureter,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Urinary Bladder,Inflammation,1,Mild,chronic; focal/multifocal,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Artery, Aorta",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Bone Marrow, Femur",Fat Vacuoles,2,Moderate,diffuse,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Bone Marrow, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Bone, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Brain,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Epididymis,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Esophagus,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Eye,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Adrenal",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Coagulating",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Harderian",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Mammary",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Parathyroid",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Pituitary",Cyst,1,Mild,focal,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Prostate",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Salivary, Parotid",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Salivary, Sublingual",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Salivary, Submandibular",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Gland, Thyroid",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Heart,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Joint, Hip",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Kidney,Basophilic Tubules,1,Mild,cortex; focal/multifocal,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Large Intestine, Cecum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Large Intestine, Colon",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Large Intestine, Rectum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Larynx,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Lymph Node, Mesenteric",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Lymph Node, Popliteal",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Muscle, Quadriceps Femoris",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Nerve, Optic",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Nerve, Sciatic",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Pancreas,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Peyer'S Patch,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Skin,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Small Intestine, Duodenum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Small Intestine, Ileum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Small Intestine, Jejunum",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Spinal Cord, Cervical",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Spinal Cord, Lumbar",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,"Spinal Cord, Thoracic",No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Spleen,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Stomach,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Testis,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Thymus,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Tongue,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Trachea,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Ureter,No Remarkable Findings,,,,
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,Urinary Bladder,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Artery, Aorta",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Bone Marrow, Femur",Fat Vacuoles,1,Mild,diffuse,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Bone Marrow, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Bone, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Brain,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Epididymis,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Esophagus,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Eye,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Adrenal",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Coagulating",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Harderian",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Mammary",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Parathyroid",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Pituitary",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Prostate",Inflammation,2,Moderate,chronic; dorsolateral,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Salivary, Parotid",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Salivary, Sublingual",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Salivary, Submandibular",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Gland, Thyroid",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Heart,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Joint, Hip",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Kidney,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Large Intestine, Cecum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Large Intestine, Colon",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Large Intestine, Rectum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Larynx,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Lymph Node, Mesenteric",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Lymph Node, Popliteal",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Muscle, Quadriceps Femoris",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Nerve, Optic",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Nerve, Sciatic",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Pancreas,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Peyer'S Patch,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Skin,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Small Intestine, Duodenum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Small Intestine, Ileum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Small Intestine, Jejunum",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Spinal Cord, Cervical",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Spinal Cord, Lumbar",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,"Spinal Cord, Thoracic",No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Spleen,Congestion,1,Mild,red pulp; diffuse,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Stomach,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Testis,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Thymus,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Tongue,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Trachea,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Ureter,No Remarkable Findings,,,,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,Urinary Bladder,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Artery, Aorta",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Bone Marrow, Femur",Fat Vacuoles,1,Mild,diffuse,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Bone Marrow, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Bone, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Brain,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Epididymis,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Esophagus,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Eye,Retinal Fold(S),1,Mild,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Adrenal",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Coagulating",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Harderian",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Mammary",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Parathyroid",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Pituitary",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Prostate",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Salivary, Parotid",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Salivary, Sublingual",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Salivary, Submandibular",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Gland, Thyroid",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Heart,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Joint, Hip",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Kidney,Basophilic Tubules,1,Mild,cortex; focal/multifocal,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Kidney,Cyst,1,Mild,medulla,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Kidney,Inflammation,1,Mild,chronic; cortex; focal/multifocal,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Large Intestine, Cecum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Large Intestine, Colon",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Large Intestine, Rectum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Larynx,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Lymph Node, Mesenteric",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Lymph Node, Popliteal",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Muscle, Quadriceps Femoris",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Nerve, Optic",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Nerve, Sciatic",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Pancreas,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Peyer'S Patch,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Skin,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Small Intestine, Duodenum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Small Intestine, Ileum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Small Intestine, Jejunum",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Spinal Cord, Cervical",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Spinal Cord, Lumbar",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,"Spinal Cord, Thoracic",No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Spleen,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Stomach,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Testis,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Thymus,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Tongue,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Trachea,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Ureter,No Remarkable Findings,,,,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,Urinary Bladder,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Artery, Aorta",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Bone Marrow, Femur",Fat Vacuoles,2,Moderate,diffuse,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Bone Marrow, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Bone, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Brain,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Epididymis,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Esophagus,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Eye,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Adrenal",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Coagulating",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Harderian",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Mammary",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Parathyroid",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Pituitary",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Prostate",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Salivary, Parotid",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Salivary, Sublingual",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Salivary, Submandibular",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Gland, Thyroid",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Heart,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Joint, Hip",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Kidney,Basophilic Tubules,1,Mild,cortex; focal/multifocal,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Large Intestine, Cecum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Large Intestine, Colon",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Large Intestine, Rectum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Larynx,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Lung,Infiltration Granulocytic,1,Mild,perivascular; focal,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Lymph Node, Mesenteric",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Lymph Node, Popliteal",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Muscle, Quadriceps Femoris",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Nerve, Optic",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Nerve, Sciatic",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Pancreas,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Peyer'S Patch,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Skin,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Small Intestine, Duodenum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Small Intestine, Ileum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Small Intestine, Jejunum",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Spinal Cord, Cervical",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Spinal Cord, Lumbar",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,"Spinal Cord, Thoracic",No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Spleen,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Stomach,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Testis,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Thymus,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Tongue,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Trachea,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Ureter,No Remarkable Findings,,,,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,Urinary Bladder,No Remarkable Findings,,,,
