study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day_start,study_day_end,period_label,observation_type,finding,comment
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M201,2,Low Dose,M,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M201,2,Low Dose,M,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M201,2,Low Dose,M,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M201,2,Low Dose,M,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M202,2,Low Dose,M,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M202,2,Low Dose,M,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M202,2,Low Dose,M,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M202,2,Low Dose,M,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M203,2,Low Dose,M,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M203,2,Low Dose,M,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M203,2,Low Dose,M,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M203,2,Low Dose,M,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M204,2,Low Dose,M,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M204,2,Low Dose,M,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M204,2,Low Dose,M,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M204,2,Low Dose,M,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M205,2,Low Dose,M,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M205,2,Low Dose,M,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M205,2,Low Dose,M,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M205,2,Low Dose,M,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F201,2,Low Dose,F,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F201,2,Low Dose,F,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F201,2,Low Dose,F,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F201,2,Low Dose,F,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F202,2,Low Dose,F,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F202,2,Low Dose,F,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F202,2,Low Dose,F,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F202,2,Low Dose,F,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F203,2,Low Dose,F,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F203,2,Low Dose,F,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F203,2,Low Dose,F,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F203,2,Low Dose,F,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F204,2,Low Dose,F,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F204,2,Low Dose,F,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F204,2,Low Dose,F,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F204,2,Low Dose,F,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F205,2,Low Dose,F,5,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F205,2,Low Dose,F,5,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F205,2,Low Dose,F,5,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F205,2,Low Dose,F,5,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M301,3,Mid Dose,M,25,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M301,3,Mid Dose,M,25,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M301,3,Mid Dose,M,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M301,3,Mid Dose,M,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M302,3,Mid Dose,M,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M302,3,Mid Dose,M,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M302,3,Mid Dose,M,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M302,3,Mid Dose,M,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M303,3,Mid Dose,M,25,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M303,3,Mid Dose,M,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M303,3,Mid Dose,M,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M303,3,Mid Dose,M,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M304,3,Mid Dose,M,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M304,3,Mid Dose,M,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M304,3,Mid Dose,M,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M304,3,Mid Dose,M,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M305,3,Mid Dose,M,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M305,3,Mid Dose,M,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M305,3,Mid Dose,M,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M305,3,Mid Dose,M,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F301,3,Mid Dose,F,25,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F301,3,Mid Dose,F,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F301,3,Mid Dose,F,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F301,3,Mid Dose,F,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F302,3,Mid Dose,F,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F302,3,Mid Dose,F,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F302,3,Mid Dose,F,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F302,3,Mid Dose,F,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F303,3,Mid Dose,F,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F303,3,Mid Dose,F,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F303,3,Mid Dose,F,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F303,3,Mid Dose,F,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F304,3,Mid Dose,F,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F304,3,Mid Dose,F,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F304,3,Mid Dose,F,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F304,3,Mid Dose,F,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F305,3,Mid Dose,F,25,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F305,3,Mid Dose,F,25,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F305,3,Mid Dose,F,25,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F305,3,Mid Dose,F,25,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M401,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M401,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Hunched posture,
TOX-2025-0421-P,M401,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M401,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M401,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Hunched posture,
TOX-2025-0421-P,M401,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M401,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Laboured breathing,
TOX-2025-0421-P,M401,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M401,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M401,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Laboured breathing,
TOX-2025-0421-P,M401,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M401,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M402,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M402,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M402,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M402,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Hunched posture,
TOX-2025-0421-P,M402,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M402,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M402,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M402,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M403,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M403,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M403,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M403,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M403,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M403,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M404,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M404,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M404,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,M404,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M404,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M405,4,High Dose,M,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M405,4,High Dose,M,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M405,4,High Dose,M,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,M405,4,High Dose,M,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F401,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F401,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Hunched posture,
TOX-2025-0421-P,F401,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F401,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F401,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Hunched posture,
TOX-2025-0421-P,F401,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F401,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F401,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F401,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F401,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F402,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F402,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F402,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F402,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F402,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F402,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F403,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F403,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F403,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Piloerection,
TOX-2025-0421-P,F403,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F403,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F404,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F404,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F404,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F404,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F405,4,High Dose,F,100,1,7,Days 1-7,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F405,4,High Dose,F,100,8,14,Days 8-14,Detailed clinical examination,Reduced activity,
TOX-2025-0421-P,F405,4,High Dose,F,100,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,F405,4,High Dose,F,100,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
